car,motorcycle,bus,truck,total,bbox_area_ratio,mean_bbox_area,max_bbox_area,cluster_density,crowd_density,brightness,sharpness,edge_density,zone_top,zone_mid,zone_bottom,bottom_motor,mid_car,is_night,is_rain,label,cam_id,filepath
9,6,1,1,17,0.151530859375,3422.8147058823533,32154.54,0.00795855353860294,2.5685935020446777,128.4201025390625,517.0713104738759,0.090939208984375,4,12,1,0,7,1,0,free_flow,cam09,dataset_cleaned/free_flow/cam09_20251203_150612.png
6,7,0,1,14,0.06779609375000001,1859.5500000000002,7441.75,0.00432373046875,1.761529564857483,94.1432421875,519.5733560595704,0.0628472900390625,3,11,0,0,4,1,0,free_flow,cam09,dataset_cleaned/free_flow/cam09_20251207_181342.png
2,0,0,1,3,0.029104687500000004,3725.4,5520.8,0.008662109375,0.7312381267547607,101.56213623046875,460.5286591943557,0.055218872070312494,1,2,0,0,2,1,0,free_flow,cam09,dataset_cleaned/free_flow/cam09_20251207_224842.png
7,5,0,0,12,0.04151875000000001,1328.6,5495.05,0.0030891927083333335,2.7332329750061035,127.6262646484375,667.9044556347121,0.0941246337890625,7,4,1,1,1,1,0,free_flow,cam10,dataset_cleaned/free_flow/cam10_20251203_132720.png
4,8,0,2,14,0.12285,3628.8,25798.41,0.008437499999999999,1.7208739519119263,135.35456787109376,485.57222057879545,0.085365234375,4,8,1,0,4,1,0,free_flow,cam09,dataset_cleaned/free_flow/cam09_20251207_070841.png
8,1,2,1,12,0.8935636718750001,31193.495454545457,280819.2,0.07252951882102272,4.458486557006836,108.22720458984375,826.160012714027,0.11475830078125,2,7,2,0,4,1,0,free_flow,cam07,dataset_cleaned/free_flow/cam07_20251205_201741.png
6,1,1,7,15,0.29029492187500006,8574.865384615385,51813.12,0.019937838040865387,4.756540298461914,129.53228515625,567.3329593436345,0.098181640625,4,9,0,0,4,1,0,free_flow,cam09,dataset_cleaned/free_flow/cam09_20251208_141409.png
7,7,0,5,19,0.1351,2730.442105263158,30783.61,0.006348684210526315,2.4651906490325928,136.938662109375,469.6080583401634,0.0802540283203125,5,14,0,0,7,1,0,free_flow,cam09,dataset_cleaned/free_flow/cam09_20251203_110413.png
3,3,0,3,9,0.049615234375000004,2116.9166666666665,6653.8,0.004922146267361111,3.3301615715026855,117.5521337890625,513.8925042512951,0.055638061523437504,3,6,0,0,1,1,0,free_flow,cam08,dataset_cleaned/free_flow/cam08_20251204_142759.png
11,19,2,3,35,0.24676093750000003,2707.32,44986.28,0.006294921875000001,3.399707794189453,129.88469970703125,501.02673108879435,0.0873387451171875,5,30,0,0,10,1,0,free_flow,cam09,dataset_cleaned/free_flow/cam09_20251206_163004.png
