car,motorcycle,bus,truck,total,bbox_area_ratio,mean_bbox_area,max_bbox_area,cluster_density,crowd_density,brightness,sharpness,edge_density,zone_top,zone_mid,zone_bottom,bottom_motor,mid_car,is_night,is_rain,filepath,cam_id,label
7,1,1,0,9,0.16239501953125,7390.777777777777,40723.0,0.018043891059027775,20.59004020690918,120.13851318359374,740.8974129576147,0.15173583984375,2,4,3,0,3,0,0,dataset_cleaned/congested/cam10_20251209_172146.png,cam10,congested
0,0,1,0,1,0.24323906250000002,93403.8,91624.68000000001,0.217177734375,1.6597341299057007,96.485732421875,472.2249614269066,0.0403583984375,0,1,0,0,0,1,0,dataset_cleaned/free_flow/cam08_20251208_215214.png,cam08,free_flow
7,10,1,3,21,0.14172119140625,2764.2380952380954,16166.0,0.006748628162202381,6.742103576660156,112.016201171875,531.2612733016966,0.12084716796875,0,11,10,6,3,0,0,dataset_cleaned/moderate/cam08_20251206_123458.png,cam08,moderate
4,2,4,1,11,0.21899169921875,8154.454545454545,55404.0,0.019908336292613637,2.4950718879699707,127.75727294921874,571.8009882717073,0.1165966796875,5,5,1,2,1,0,0,dataset_cleaned/free_flow/cam07_20251206_145952.png,cam07,free_flow
3,0,1,0,4,0.11243476562500002,10793.737500000001,17937.45,0.0250970458984375,3.757460832595825,89.02297119140626,510.3746968924078,0.053884521484375,1,3,0,0,3,1,0,dataset_cleaned/free_flow/cam08_20251207_044339.png,cam08,free_flow
8,19,2,0,29,0.097041015625,1370.6206896551723,4536.0,0.0033462419181034485,5.144309043884277,127.82108154296876,613.9345043895187,0.12590087890625,7,15,7,7,2,0,0,dataset_cleaned/free_flow/cam07_20251206_134952.png,cam07,free_flow
9,20,3,1,33,0.2239501953125,2779.6969696969695,13425.0,0.006786369554924242,12.033699035644531,123.13450439453125,630.5839772009851,0.116884765625,7,20,6,5,4,0,0,dataset_cleaned/moderate/cam11_20251209_144208.png,cam11,moderate
4,20,0,2,26,0.189140625,2979.6923076923076,17136.0,0.007274639423076924,7.456663608551025,102.00414794921875,641.0926842450558,0.10455078125,7,15,4,4,2,0,0,dataset_cleaned/moderate/cam08_20251205_093729.png,cam08,moderate
9,5,3,0,17,0.26781494140625,6452.764705882353,68400.0,0.01575382008272059,11.014570236206055,129.69111083984376,683.5906883758306,0.1335791015625,8,5,4,3,3,0,0,dataset_cleaned/moderate/cam07_20251208_172919.png,cam07,moderate
6,20,9,0,35,0.227587890625,2663.4285714285716,10465.0,0.006502511160714286,12.899471282958984,123.394052734375,758.9745724134388,0.1517529296875,13,18,4,7,2,0,0,dataset_cleaned/congested/cam10_20251209_102708.png,cam10,congested
7,6,0,3,16,0.19215576171875,4919.1875,55599.0,0.012009735107421876,2.4374194145202637,130.88165283203125,483.96844956750266,0.1047216796875,3,13,0,0,5,0,0,dataset_cleaned/free_flow/cam09_20251208_160936.png,cam09,free_flow
7,5,0,0,12,0.0370703125,1265.3333333333333,5335.0,0.0030891927083333335,2.7332329750061035,127.6262646484375,636.0994815568687,0.11073486328125,7,4,1,1,1,0,0,dataset_cleaned/free_flow/cam10_20251203_132720.png,cam10,free_flow
9,18,0,0,27,0.11487060546875,1742.6296296296296,6745.0,0.004254466869212963,5.440329074859619,97.16774169921875,487.2462728147269,0.0731982421875,4,20,3,5,7,0,0,dataset_cleaned/moderate/cam08_20251204_171553.png,cam08,moderate
6,6,1,3,16,0.145751953125,3731.25,25047.0,0.0091094970703125,3.680657386779785,134.36332763671874,490.53003651246416,0.10322509765625,2,13,1,0,6,0,0,dataset_cleaned/free_flow/cam09_20251209_151155.png,cam09,free_flow
4,0,0,1,5,0.14488632812500002,11127.27,49186.62,0.02587255859375,1.4134035110473633,104.5656103515625,434.67795908769966,0.055536376953125,2,3,0,0,2,1,0,dataset_cleaned/free_flow/cam09_20251208_035612.png,cam09,free_flow
0,0,0,0,0,0.0,0.0,0.0,0.0,1.5193592309951782,89.3108203125,460.5891307943954,0.0413544921875,0,0,0,0,0,1,0,dataset_cleaned/free_flow/cam08_20251208_035606.png,cam08,free_flow
2,1,0,2,5,0.16275820312500003,12499.830000000002,51347.560000000005,0.02906396484375,0.9097404479980469,102.2441552734375,444.5710984921085,0.052597900390625,0,4,1,0,2,1,0,dataset_cleaned/free_flow/cam09_20251205_001111.png,cam09,free_flow
14,3,7,3,27,0.45782187500000004,6511.2444444444445,28018.06,0.015139612268518518,17.107378005981445,96.86013427734375,848.1091165704383,0.09624340820312499,10,12,5,0,6,1,0,dataset_cleaned/congested/cam11_20251205_211316.png,cam11,congested
9,11,4,0,24,0.18763916015625,3202.375,17947.0,0.00781829833984375,7.317966461181641,127.2377783203125,742.2501731131972,0.15533935546875,7,14,3,0,2,0,0,dataset_cleaned/moderate/cam07_20251207_104827.png,cam07,moderate
13,18,2,2,35,0.288173828125,3372.457142857143,14940.0,0.00823353794642857,6.276015281677246,123.848779296875,531.5569132839144,0.101865234375,16,11,8,12,3,0,0,dataset_cleaned/moderate/cam11_20251209_152205.png,cam11,moderate
7,2,4,0,13,0.203037109375,6397.2307692307695,36975.0,0.015618239182692308,7.316072463989258,121.7331005859375,799.7410523580016,0.140078125,5,6,2,0,3,0,0,dataset_cleaned/moderate/cam10_20251208_153000.png,cam10,moderate
3,12,1,2,18,0.10456298828125,2379.3888888888887,24720.0,0.005809054904513889,6.286001682281494,130.15380126953124,461.3565590221348,0.1018115234375,5,12,1,0,2,0,0,dataset_cleaned/free_flow/cam09_20251203_165154.png,cam09,free_flow
7,0,3,2,12,0.14804931640625,5053.416666666667,24766.0,0.012337443033854166,2.2168314456939697,129.40384033203125,509.5903169610738,0.1051708984375,3,8,1,0,6,0,0,dataset_cleaned/free_flow/cam09_20251203_153113.png,cam09,free_flow
10,8,2,2,22,0.1974560546875,3676.2727272727275,31944.0,0.00897527521306818,3.24176025390625,134.48375244140624,491.9493814047812,0.1063818359375,5,15,2,0,8,0,0,dataset_cleaned/free_flow/cam09_20251205_104723.png,cam09,free_flow
12,1,1,0,14,0.106955078125,2933.6250000000005,19380.48,0.0068211146763392854,2.4251530170440674,95.7829443359375,652.1646358655129,0.08133728027343749,6,7,1,0,5,1,0,dataset_cleaned/free_flow/cam10_20251207_214848.png,cam10,free_flow
3,14,0,6,23,0.169580078125,3020.0,45510.0,0.007373046875,3.3963165283203125,130.66966796875,583.6167026226459,0.1160595703125,6,17,0,0,2,0,0,dataset_cleaned/free_flow/cam09_20251209_090700.png,cam09,free_flow
8,6,1,2,17,0.15588134765625,3755.823529411765,34001.0,0.009169491038602942,2.3460845947265625,134.265009765625,442.3479756116329,0.09614990234375,5,10,2,2,8,0,0,dataset_cleaned/free_flow/cam09_20251204_141907.png,cam09,free_flow
5,13,2,0,20,0.20764892578125,4252.65,20280.0,0.0103824462890625,10.703691482543945,120.77087158203125,535.2620935509144,0.09875,1,15,4,4,3,0,0,dataset_cleaned/congested/cam08_20251207_172835.png,cam08,congested
3,0,4,1,8,0.05708984375,2923.0,6720.0,0.00713623046875,2.422266721725464,132.7999072265625,615.3191736172141,0.1291259765625,5,2,1,0,1,0,0,dataset_cleaned/free_flow/cam07_20251206_094452.png,cam07,free_flow
0,2,1,0,3,0.05080468750000001,6503.0,17427.600000000002,0.015120442708333334,1.274172067642212,93.87784912109375,515.5594599016223,0.046739624023437495,2,1,0,0,0,1,0,dataset_cleaned/free_flow/cam08_20251206_184458.png,cam08,free_flow
9,12,2,1,24,0.3052880859375,5210.25,36640.0,0.0127203369140625,13.998851776123047,120.08808349609374,864.2296751186789,0.17437744140625,5,14,5,3,2,0,0,dataset_cleaned/congested/cam10_20251208_164515.png,cam10,congested
7,18,0,0,25,0.2323876953125,3807.44,29876.0,0.0092955078125,15.097566604614258,102.6018017578125,607.5520950080814,0.10205078125,4,15,6,7,2,0,0,dataset_cleaned/congested/cam08_20251207_164336.png,cam08,congested
5,6,1,1,13,0.079833984375,2515.3846153846152,17094.0,0.006141075721153846,2.7471933364868164,130.22369873046875,674.4319722408295,0.14119384765625,6,3,4,3,1,0,0,dataset_cleaned/free_flow/cam07_20251204_122043.png,cam07,free_flow
6,1,2,1,10,0.0605322265625,2479.4,14740.0,0.00605322265625,4.9611592292785645,92.97946533203125,467.5280040737152,0.05951904296875,6,4,0,0,3,0,0,dataset_cleaned/free_flow/cam08_20251209_124200.png,cam08,free_flow
